nkerns =  [20 50] (2,)
validation set =  100000
... building the model
layer0_input =  (50, 4, 21, 21)
layer0 =  (20, 4, 5, 5) (3, 3)
maxpool_size1 =  12
... training
--> train minibatch error =  0.52
-->  0 50 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 100 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 150 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 200 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 250 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 300 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 350 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 450 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 500 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 550 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 600 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 650 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 700 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 750 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 850 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 900 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 1000 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 1050 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 1100 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 1150 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 1200 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 1250 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 1300 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 1350 chunk_10_50000.pkl
--> train minibatch error =  0.5
-->  0 1400 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 1450 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 1500 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 1550 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 1600 chunk_10_50000.pkl
--> train minibatch error =  0.5
-->  0 1650 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 1700 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 1750 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 1800 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 1850 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 1900 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 1950 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 2000 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 2050 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 2100 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 2150 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 2200 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 2250 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 2300 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 2350 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 2400 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 2450 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 2500 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 2550 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 2600 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 2700 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 2750 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 2850 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 2900 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 2950 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 3000 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 3050 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 3100 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 3150 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 3200 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 3250 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 3300 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 3400 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 3450 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 3500 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 3550 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 3600 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 3850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 3900 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 3950 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 4000 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 4050 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 4100 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 4150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 4400 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 4450 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 4550 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 4600 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 4650 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 4700 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 4950 chunk_10_50000.pkl
training @ iter =  100 , cost =  0.317754924297
--> train minibatch error =  0.14
-->  0 5000 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 5250 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 5300 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 5400 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 5450 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 5550 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 5850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 5950 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 6000 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 6450 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 6500 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 6550 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 6600 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 6750 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 6800 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 6850 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 6900 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 7100 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 7150 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 7200 chunk_10_50000.pkl
--> train minibatch error =  0.22
